"sub","reward_self","effort_self","reward_other","effort_other","diff_effort","diff_reward"
"2854",0.716451059597666,-0.048103292387911,0.055201842958416,0.0997593655238615,0.147862657911772,-0.66124921663925
"2899",0.717856042792687,-0.060035998430866,0.145051336658759,-0.0588588965915038,0.00117710183936219,-0.572804706133928
"2959",0.967867915721947,0.022434252496183,0.328554785858138,0.00673192519768409,-0.0157023272984989,-0.639313129863809
"2998",1.70187665159386,-0.301737220574991,0.413736128662351,-0.444058684188467,-0.142321463613476,-1.28814052293151
"3103",1.27860638305568,-0.454575298225195,0.331516946651997,-0.587405861510614,-0.132830563285418,-0.947089436403681
"3178",0.57455392782402,-0.42985203965809,0.0086192951453124,0.046797747843161,0.476649787501251,-0.565934632678707
"3210",0.716451059597666,-0.048103292387911,0.0467236857099223,0.397251381894162,0.445354674282073,-0.669727373887743
"3228",0.450988802077682,-0.285382425682885,0.212248888510384,0.226116733884273,0.511499159567158,-0.238739913567298
"3472",0.714148969194144,-0.0486270173808449,0.192147823613017,-0.319772873912327,-0.271145856531482,-0.522001145581127
"3624",1.30512330297061,-0.703358562295046,0.607527441668039,-0.589872209157471,0.113486353137574,-0.697595861302573
"3771",-0.0335186893937864,0.0417503832179226,0.0102695545784809,0.0466341692970673,0.00488378607914478,0.0437882439722674
"3928",0.367581330453253,-0.441758083463098,0.05853619023439,0.0936793176915514,0.535437401154649,-0.309045140218863
"4164",-0.274631748471254,-0.200143084592071,0.0650070863455715,0.0894776177400606,0.289620702332132,0.339638834816825
"4231",0.716451059597666,-0.048103292387911,0.00262267597251278,-0.247258810567677,-0.199155518179766,-0.713828383625153
"4241",0.416227129568932,-0.134922906209561,0.0623492210588995,0.0785926093949242,0.213515515604486,-0.353877908510033
"4625",-0.0825589789635819,-0.520700374451427,0.219802230374944,-0.12985082536293,0.390849549088497,0.302361209338525
"4920",0.714148969194144,-0.0486270173808449,0.0547457367643025,0.10163600530043,0.150263022681275,-0.659403232429841
"4961",0.713269914304902,-0.0605871181406504,0.128334675330516,-0.23742128306818,-0.17683416492753,-0.584935238974386
"5096",0.716451059597666,-0.048103292387911,0.055201842958416,0.0997593655238615,0.147862657911772,-0.66124921663925
"5113",0.716451059597666,-0.048103292387911,0.423379671210438,-0.900000250668752,-0.851896958280841,-0.293071388387228
