"sub","reward_self","effort_self","reward_other","effort_other","diff_effort","diff_reward"
"2959",1.15171161760629,0.140994170943917,0.405667520126213,-0.069770002873229,-0.210764173817146,-0.746044097480076
"2998",1.74814156842195,-0.30096155891286,0.464428518471922,-0.503386570053582,-0.202425011140722,-1.28371304995002
"3103",1.52572379041504,-0.467055845264654,0.437305570922157,-0.9211222744059,-0.454066429141246,-1.08841821949289
"3178",0.853383779592889,-0.409976993357481,0.158830803659851,-0.290229090917362,0.119747902440119,-0.694552975933038
"3210",1.02624053206795,0.0693337183476472,0.217865899422629,0.0336868787615475,-0.0356468395860997,-0.808374632645318
"3228",0.728181800473158,-0.22293016037562,0.355140692405532,-0.11107374650443,0.11185641387119,-0.373041108067625
"3472",1.0311635383636,0.143125013538308,0.256158360297875,-0.422506534663728,-0.565631548202036,-0.77500517806572
"3624",1.3527364149387,-0.683537861746831,0.627826020506206,-0.623422510078736,0.0601153516680953,-0.724910394432495
"3771",0.223338513750018,0.117419284248622,0.160708672807512,-0.291317772489671,-0.408737056738293,-0.0626298409425063
"3928",0.652333351681208,-0.393366543173407,0.19223913366247,-0.203654378142821,0.189712165030586,-0.460094218018738
"4164",-0.190714055726408,-0.126372564155915,0.170133921315542,-0.0943208015303575,0.0320517626255578,0.36084797704195
"4231",1.03341088811833,0.143646847704771,0.100441264519057,-0.361271013469214,-0.504917861173985,-0.932969623599277
"4241",0.668530578480009,-0.0837934586551909,0.194032450425327,-0.2116567908825,-0.127863332227309,-0.474498128054683
"4625",0.210118214372717,-0.501478659360871,0.371962892992548,-0.509291080386339,-0.00781242102546831,0.161844678619831
"4920",1.0311635383636,0.143125013538308,0.159845113882274,-0.0818754181279269,-0.225000431666235,-0.871318424481322
"4961",1.02000020186153,0.0562424314542093,0.259456030905858,-0.573915559655373,-0.630157991109582,-0.760544170955672
"5096",1.02624053206795,0.0693337183476472,0.188379526931194,-0.195560276648439,-0.264893994996087,-0.837861005136753
"5113",1.03341088811833,0.143646847704771,0.474676439844,-0.99540727185828,-1.13905411956305,-0.558734448274334
"5156",1.03341088811833,0.143646847704771,0.293881354497161,-0.464858004897332,-0.608504852602104,-0.739529533621173
"5273",0.972987150997252,-0.248221916888805,0.320973371010264,-0.587389861151391,-0.339167944262586,-0.652013779986988
"5495",1.03142570023803,0.142832685241204,0.380947370105337,-0.254811830182748,-0.397644515423953,-0.650478330132695
"5654",1.03341088811833,0.143646847704771,0.271396763916349,-1.0994201803531,-1.24306702805787,-0.762014124201985
"5822",1.02624053206795,0.0693337183476472,0.188379526931194,-0.195560276648439,-0.264893994996087,-0.837861005136753
"5835",1.02566715529538,0.0442743529029235,0.428657565078206,-0.524844985918696,-0.569119338821619,-0.59700959021717
"5918",0.806918593907731,-0.94577632230736,0.357112297132832,-1.25269085331446,-0.306914531007099,-0.449806296774899
"6055",0.681762376214,-0.26679552672752,0.140948801107811,-0.228603902258435,0.0381916244690851,-0.540813575106189
"6121",1.03341088811833,0.143646847704771,0.160751281631992,-0.0861023349921992,-0.22974918269697,-0.872659606486343
"6246",1.02757639996623,0.0606809806409737,0.341331518962945,-0.970306078514115,-1.03098705915509,-0.686244881003289
"6324",1.02624053206795,0.0693337183476472,0.367401531750753,-0.79809204269106,-0.867425761038707,-0.658839000317194
"6332",1.1947515283777,-0.248641732475917,0.272349720908996,-0.488726696316412,-0.240084963840495,-0.922401807468707
"6335",1.03341088811833,0.143646847704771,0.105881230276854,-0.291699554741276,-0.435346402446047,-0.92752965784148
"6397",1.0311635383636,0.143125013538308,0.161200365022462,-0.0812664854665077,-0.224391499004816,-0.869963173341133
"6469",1.00152328913671,-0.600438324956079,0.332339823743424,-1.01573863636739,-0.415300311411315,-0.669183465393281
"6495",1.16856224835298,-0.281238975957464,0.182891930121743,-0.579486403733371,-0.298247427775907,-0.985670318231232
"6604",1.03341088811833,0.143646847704771,0.160008428382097,-0.0834767608570748,-0.227123608561846,-0.873402459736238
"6644",0.184518528793668,-0.639268703078881,0.310029956002863,-0.207179748134801,0.43208895494408,0.125511427209195
"6707",1.02499956028705,0.0681193159620676,0.190753460410401,-0.203189094131036,-0.271308410093104,-0.834246099876645
"7047",1.02531298502764,0.0505238843806911,0.194043890063165,-0.211035099998207,-0.261558984378898,-0.831269094964479
"7107",1.02543828601301,0.0631242037161985,0.342177220172762,-0.155487692676102,-0.2186118963923,-0.683261065840243
"7389",0.753122670638448,-0.365543604698488,0.19415353208476,-0.205724788809736,0.159818815888753,-0.558969138553688
"7512",1.0213857175582,0.0636818093624006,0.190360115122208,-0.19911169157525,-0.262793500937651,-0.831025602435992
"7656",1.03341088811833,0.143646847704771,0.201552355324726,-0.757366877355458,-0.901013725060229,-0.831858532793608
"7772",0.621214494831617,-0.466352089766082,0.375452100799408,-0.0811714554024341,0.385180634363648,-0.245762394032209
