ui,intervention,p_self_k,p_other_k,p_beta,p_other_self_k,p_self_choice,p_other_choice,l_self_k,l_other_k,l_beta,l_other_self_k,l_self_choice,l_other_choice,h_self_k,h_other_k,h_beta,h_other_self_k,h_self_choice,h_other_choice
1423,1,0.01142732920925,0.0175312763485653,1.65750665366184,0.00610394713931528,1,0.958333333333333,0.0456765096880549,0.0817797730022172,1.6995572312504,0.0361032633141623,1,0.958333333333333,0.0853604274040926,0.0639084459477699,2.42995914748212,-0.0214519814563227,1,0.958333333333333
1499,0,0.00796598918143617,0.122870904296824,0.735200084057806,0.114904915115388,0.91304347826087,0.5,0.0389427457514624,0.569750845387311,0.88529752463004,0.530808099635849,0.91304347826087,0.5,0.0612446876648805,0.65936593536257,1.47891255668818,0.59812124769769,0.91304347826087,0.5
1867,0,0.19483363751517,0.0710000751154539,0.474361889888611,-0.123833562399716,0.347826086956522,0.625,0.78987354531688,0.304010308622598,0.565799474993071,-0.485863236694282,0.347826086956522,0.625,0.678665377467738,0.398721630950528,1.1327521176204,-0.27994374651721,0.347826086956522,0.625
1870,1,0.0102825422306223,0.236118578241767,0.69701095217979,0.225836036011144,1,0.272727272727273,0.0594029982948553,0.908341042773036,0.876726360610718,0.84893804447818,1,0.272727272727273,0.128987707302104,1.12085021137339,1.7895791846905,0.991862504071286,1,0.272727272727273
2397,0,0.0991660924207004,0.16593903084368,1.46454568109695,0.0667729384229798,0.652173913043478,0.478260869565217,0.434176416625081,0.645045284904953,1.76512174562815,0.210868868279872,0.652173913043478,0.478260869565217,0.410960426283961,0.631071844421661,4.06319426001821,0.2201114181377,0.652173913043478,0.478260869565217
2411,1,0.0134473023768769,0.0348362349585744,0.604985216131548,0.0213889325816975,0.9,0.947368421052632,0.0646286090431732,0.155200934971147,0.635819519566514,0.0905723259279739,0.9,0.947368421052632,0.120914975006227,0.168067440675079,0.952592771059429,0.0471524656688523,0.9,0.947368421052632
2431,1,0.00653435947946113,0.072356630305672,0.973302090624716,0.0658222708262108,1,0.619047619047619,0.0288662077428705,0.414259611956146,1.24788502714905,0.385393404213276,1,0.619047619047619,0.0349778650951355,0.520476202841256,2.32045997496533,0.48549833774612,1,0.619047619047619
2690,0,0.00733607592500002,0.0858227255012128,1.01566668330608,0.0784866495762128,0.956521739130435,0.608695652173913,0.0360346122486236,0.410089674319093,1.17732686560296,0.37405506207047,0.956521739130435,0.608695652173913,0.049964160206708,0.398571554025553,1.78909786972168,0.348607393818845,0.956521739130435,0.608695652173913
2803,0,0.182644005433445,0.432614977241834,1.05182308764633,0.249970971808388,0.458333333333333,0.166666666666667,0.672623011210256,1.17045162708244,1.11074226784291,0.497828615872184,0.458333333333333,0.166666666666667,0.645402331581547,1.22249820158412,3.28104931159143,0.577095870002569,0.458333333333333,0.166666666666667
2854,0,0.00814160649681211,0.0170431507100026,2.67643895145024,0.00890154421319047,1,1,0.0362588183137787,0.076261044831275,2.73387799461922,0.0400022265174963,1,1,0.0450218781511352,0.0592209832330682,3.87965419297934,0.0141991050819331,1,1
