"X","sub","decision","grupo","agent","AIM_2","success","c.tasa_fallo_other","c.tasa_fallo_self","c.zeros_other","c.zeros_self","c.reward","c.effort","c.trail","c.AIM_num","c.AIM_3","c.AIM_4","Fatigue_diff"
67,332,1,1,0,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,-1.22459298388913,0.447158134025757,-0.396965241075134,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
68,332,1,1,0,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,0,0.447158134025757,-0.324789742697837,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
69,332,1,1,0,1,1,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,1.22459298388913,0.447158134025757,-0.25261424432054,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
70,332,1,1,0,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,-1.22459298388913,1.34147440207727,-0.180438745943243,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
71,332,1,1,0,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,0,1.34147440207727,-0.108263247565946,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
72,332,1,1,0,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,1.22459298388913,1.34147440207727,-0.0360877491886485,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
73,332,1,1,1,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,-1.22459298388913,-1.34147440207727,0.0360877491886485,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
74,332,1,1,1,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,0,-1.34147440207727,0.108263247565946,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
75,332,1,1,1,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,1.22459298388913,-1.34147440207727,0.180438745943243,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
76,332,1,1,1,1,0,0.573975003720138,-0.465002765346231,0.670210257566974,-0.737508737051909,-1.22459298388913,-0.447158134025757,0.25261424432054,-0.302304380306779,0.0675649386032631,-0.355988135781098,8
