subject_id,grupo,k_self_parabolico_antiguo,k_other_parabolico_antiguo,beta_parabolico_antiguo,k_self_lineal_antiguo,k_other_lineal_antiguo,beta_lineal_antiguo,k_self_hiperbolico_antiguo,k_other_hiperbolico_antiguo,beta_hiperbolico_antiguo,k_self_parabolico_nuevo,k_other_parabolico_nuevo,beta_parabolico_nuevo,k_self_lineal_nuevo,k_other_lineal_nuevo,beta_lineal_nuevo,k_self_hiperbolico_nuevo,k_other_hiperbolico_nuevo,beta_hiperbolico_nuevo
5822,1,1.41041775987358e-8,0.75019958536842,18.9016126554614,4.2549619120819e-8,0.976383628994936,18.8035412863448,7.87830966295989e-9,0.750047063093484,20.3062183466233,0.00814178902956605,0.0170415506476098,2.67636954865996,0.0362585911321553,0.0762610510123121,2.73388357826939,0.0450220569328362,0.0592209403287423,3.87965337698449
5835,1,1.57031057018818e-6,0.750083189534897,16.9529008105698,2.87678679301872e-7,0.75001421822918,18.5363237051714,5.88696994017116e-8,0.292228113610119,18.1210834032062,0.0148054126972746,0.0416892460690877,0.793719557773945,0.0838779184381137,0.239073275959823,0.902232512974359,0.100913300341885,0.248880623609623,1.34368271451919
5918,0,0.804933682231609,0.694097612713085,0.752325521418438,1.4999996485944,0.749904977051407,0.817525920103362,1.49999932725798,0.751825361211815,1.21296075955904,0.112237116443016,0.345668954557955,1.39922762755332,0.461316608611371,1.00392198531908,1.53408786972254,0.432504275342476,1.07212526985138,3.94423764994622
6055,0,9.1331078349163e-9,0.708551395669948,1.58740104587069,1.53695674247183e-7,0.654394053219046,1.5874010410073,2.42412411552881e-7,0.631023106841663,1.58740137518074,0.00921479469215118,0.0234207447735777,1.26632676394497,0.0381892950765323,0.117995278113597,1.32546754996627,0.0541663787947896,0.139409725748203,1.92818530526642
6121,0,1.41967979653206e-8,0.749818609103658,18.798628304134,4.23401721958023e-8,0.887974158783564,18.8903518191906,5.19565187247615e-8,1.28714309875236,15.3640547317675,0.00688288976662195,0.0195705174120942,1.49820633598562,0.0301212166559457,0.0978540380556911,1.56460871785861,0.0342253261308917,0.122959064678861,2.20637160859134
6246,1,0.670330213275324,0.693460763066078,0.798033151346175,1.49999994573008,0.751126457105635,1.1683103160057,1.4999999945714,1.14810669666384,3.88516332337018,0.00816120762378149,0.402320509844891,0.961385245773732,0.0373384851749382,1.22119604910332,1.27022990401387,0.0840930387509154,1.4702321767034,3.59736821800879
6324,1,0.11142282272826,0.749986531312754,1.27962227550231,0.416590494599691,0.734833929304686,1.42694330601963,0.555543817775018,0.793246655381766,2.43059108084691,0.00652127071047292,0.151227912830553,0.923742098628592,0.0286603814585261,0.665522427652679,1.18438867669389,0.0368043286049955,0.858420214367743,2.59832975681931
6332,1,0.277498683253993,0.747010028718089,0.470752328532012,0.96197662575697,0.752823947425952,0.674866223359036,1.49999998940753,0.76835256407672,2.16520169165232,0.00722201979528225,0.215284470743578,0.655114704406374,0.0318661031970528,0.906299940578555,0.885600169216202,0.0511113222563445,1.33311059571246,2.35883971622618
6335,0,6.5712196451857e-9,0.72925433013011,2.19282361917842,9.85593889995049e-8,0.738880795708491,2.19282400356709,3.170311278917e-8,0.743295846876816,2.19282376959564,0.00717945525865644,0.0204926293001806,1.80727807919013,0.031500343719866,0.0921430959059186,1.85810479482567,0.0373840461518659,0.109101709211989,2.68725989005609
6397,0,1.41149552700507e-8,0.750036144052245,18.8897111682964,4.25109700302212e-8,0.749987649267505,18.8085866896954,4.24390792960197e-8,0.749999988634441,18.8510052383789,0.00772959141967119,0.0158187780683815,1.46962157865237,0.0358281814827526,0.0735931996312458,1.51781176583318,0.0517938273280068,0.0532524093324268,1.89537819995134
6469,1,0.0473518388816561,0.755383723586573,1.57475992232188,0.100086152831623,0.745317197549447,1.48725443278419,0.131903251197556,0.770545233235719,1.82361404305825,0.0160571544343663,0.0909929739734663,1.17605809195858,0.0591485593581834,0.356115487817916,1.15175188438743,0.0978752582775513,0.300561074172244,1.86915272060379
6495,0,1.37313206010888e-7,0.695860697638622,1.80423026091196,1.01225471350442e-7,0.683888942516421,1.80422968756264,0.0287207931254923,0.722299917768165,1.92259428102665,0.00942285060230305,0.0559603917801016,1.0428265131386,0.0409696435727256,0.240922059991869,1.08365293692234,0.0518685034560359,0.26759058424597,1.71945724031042
6604,0,1.41041775987358e-8,0.75019958536842,18.9016126554614,4.2549619120819e-8,0.976383628994936,18.8035412863448,7.87830966295989e-9,0.750047063093484,20.3062183466233,0.00814093450837031,0.0170445497756663,2.67646535813661,0.0362585935427277,0.0762609303966416,2.73388048430507,0.0450217968089408,0.0592209555196318,3.87964267395035
6644,0,0.022272447249777,0.774580847114125,0.213064982996076,6.87774877823635e-4,0.715324402641763,0.202414853232543,1.98509372212514e-6,0.749989643947612,0.202310746106494,0.102189427186376,0.0836045197329072,0.573820187165749,0.377060949206698,0.39315051609396,0.623620491550787,0.296845410825551,0.445534584536819,1.04990709750748
6707,1,1.8246504095337e-8,0.683677315635068,19.7899433894983,4.69496089732228e-8,0.75002417069687,18.8881826708936,1.87241705533176e-7,0.975229131561535,27.7108428396788,0.00724676648942346,0.0201166243048121,1.22637623755688,0.0352491806371663,0.0937223384041073,1.27374899296572,0.0456093433601085,0.0808624542242256,1.59984079749573
7047,1,1.11358390667128e-7,0.749986403520464,17.1049129665118,6.15233826219683e-8,0.761594013369761,18.5717694082152,2.09967468491133e-7,0.940448247276621,30.6274603254323,0.014576293520087,0.0309597930728737,0.983673778012233,0.0910888141894694,0.141506666716763,1.05717274421593,0.114652781383465,0.135083539128195,1.54553308450705
